Sum of Budget($),country,Year,Quarter,Month,Day,Genre,orig_lang,Sum of Revenue($),Sum of score,Title
45000000,AU,2017,Qtr 2,June,15,"Drama, Music", English,57697426,67,All Eyez on Me
217000000,AU,2017,Qtr 2,June,16,"Action, Adventure, Science Fiction", English,602893340,61,Transformers: The Last Knight
63460000,AU,2017,Qtr 2,June,17,"Action, Drama, Fantasy", Japanese,150532,66,Blade of the Immortal
24000000,AU,2017,Qtr 2,June,21,"Crime, Comedy", English,80812424,67,Going in Style
175000000,AU,2017,Qtr 2,June,22,"Animation, Adventure, Comedy, Family", English,383541369,69,Cars 3
120200000,AU,2017,Qtr 2,June,23,"Thriller, Romance, Drama", English,335738990,56,You Get Me
51060000,AU,2017,Qtr 2,June,27,"Adventure, Drama, Thriller", English,1906640,66,Jungle
10000000,AU,2017,Qtr 2,June,27,drama, English,28039038,59,The Beguiled
125000,AU,2017,Qtr 2,June,29,"Action, Crime, Drama, Thriller", Korean,8737458,68,The Villainess
50000000,AU,2017,Qtr 2,June,29,"Adventure, Drama, Science Fiction, Fantasy", English,273230203,74,Okja
