Sum of budget,country,genre,language,Year,Quarter,Month,Day,Sum of revenue,Sum of score,title
35000000,AU,"Adventure, Animation, Comedy, Family", English,2007,Qtr 2,April,5,96096018,61,TMNT
39120168.6,AU,"Adventure, Animation, Comedy, Family", English,2008,Qtr 4,December,31,8700000,58,Open Season 2
40000000,AU,"Adventure, Animation, Comedy, Family", English,2010,Qtr 1,January,1,46458811,78,Fantastic Mr. Fox
130000000,AU,"Adventure, Animation, Comedy, Family", English,2014,Qtr 2,April,10,492846291,65,Rio 2
90000000,AU,"Adventure, Animation, Comedy, Family", English,2015,Qtr 4,December,26,249517956,60,Alvin and the Chipmunks: The Road Chip
200000000,AU,"Adventure, Animation, Comedy, Family", English,2016,Qtr 2,June,16,1025006125,70,Finding Dory
70000000,AU,"Adventure, Animation, Comedy, Family", English,2016,Qtr 3,September,22,183353431,66,Storks
80000000,AU,"Adventure, Animation, Comedy, Family", English,2019,Qtr 2,June,20,446109716,70,The Secret Life of Pets 2
100000000,AU,"Adventure, Animation, Comedy, Family, Fantasy", English,2001,Qtr 2,April,5,169630573,75,The Emperor's New Groove
47000000,AU,"Adventure, Animation, Comedy, Family, Fantasy", English,2007,Qtr 2,April,5,37923818,49,Happily N'Ever After
100780000,AU,"Adventure, Animation, Comedy, Family, Fantasy, Music", English,2008,Qtr 3,September,18,892986395.2,78,Scooby-Doo! and the Goblin King
100780000,AU,"Adventure, Animation, Comedy, Family, Fantasy, Mystery, Science Fiction", English,2014,Qtr 4,October,15,892986395.2,78,Scooby-Doo! Frankencreepy
19000000,AU,"Adventure, Animation, Comedy, Fantasy", English,2016,Qtr 3,August,11,141344255,57,Sausage Party
60000000,AU,"Adventure, Animation, Comedy, Fantasy, Family", English,2012,Qtr 4,December,1,309887177,63,Shrek the Halls
12000000,AU,"Adventure, Animation, Drama, Family", English,1981,Qtr 4,December,26,29800000,71,The Fox and the Hound
60000000,AU,"Adventure, Animation, Drama, Family", English,1998,Qtr 4,December,26,218613188,72,The Prince of Egypt
94944000,AU,"Adventure, Animation, Family", English,1996,Qtr 3,July,31,340525142.6,63,Aladdin and the King of Thieves
46000000,AU,"Adventure, Animation, Family", English,2003,Qtr 4,December,26,250397798,73,Brother Bear
150000000,AU,"Adventure, Animation, Family", English,2011,Qtr 2,June,11,39549758,61,Mars Needs Moms
60000000,AU,"Adventure, Animation, Family", English,2014,Qtr 3,September,4,90482317,60,The Tale of Despereaux
73800000,AU,"Adventure, Animation, Family", English,2015,Qtr 3,July,22,394200421.4,72,Tinker Bell and the Legend of the NeverBeast
187500000,AU,"Adventure, Animation, Family", English,2016,Qtr 1,January,1,333771037,68,The Good Dinosaur
74900000,AU,"Adventure, Animation, Family", English,2021,Qtr 1,January,7,596440207.4,66,Maya the Bee: The Golden Orb
101000000,AU,"Adventure, Animation, Family, Action", English,2018,Qtr 4,October,4,731864525.2,75,PAW Patrol: Mighty Pups
119000000,AU,"Adventure, Animation, Family, Comedy", English,2011,Qtr 1,February,10,397948698.4,56,Open Season 3
86204572,AU,"Adventure, Animation, Family, Comedy, Fantasy", English,1991,Qtr 1,January,3,18115724,67,DuckTales: The Movie - Treasure of the Lost Lamp
171000000,AU,"Adventure, Animation, Family, Comedy, Mystery, Science Fiction", English,2015,Qtr 2,June,10,640441071.8,78,Scooby-Doo! Moon Monster Madness
105000000,AU,"Adventure, Animation, Family, Comedy, Science Fiction", English,2016,Qtr 2,June,23,402156682,61,Ice Age: Collision Course
38000000,AU,"Adventure, Animation, Family, Fantasy", English,1997,Qtr 2,April,3,28946127,65,James and the Giant Peach
126000000,AU,"Adventure, Animation, Family, Fantasy", English,2017,Qtr 4,November,1,404506361,67,Trolls Holiday
25352400,AU,"Adventure, Animation, Family, Fantasy", English,2021,Qtr 3,September,16,10237061,71,AINBO: Spirit of the Amazon
100000000,AU,"Adventure, Animation, Family, Fantasy, Science Fiction", English,2002,Qtr 4,December,26,91800000,75,Treasure Planet
